Year,Division,Level,Percent
2018 - 2019,Accomack County Public Schools,DIV,68.2
2018 - 2019,Albemarle County Public Schools,DIV,67.2
2018 - 2019,Alexandria City Public Schools,DIV,62.3
2018 - 2019,Alleghany County Public Schools,DIV,64.6
2018 - 2019,Amelia County Public Schools,DIV,65
2018 - 2019,Amherst County Public Schools,DIV,70.7
2018 - 2019,Appomattox County Public Schools,DIV,67.3
2018 - 2019,Arlington County Public Schools,DIV,61.4
2018 - 2019,Augusta County Public Schools,DIV,70.6
2018 - 2019,Bath County Public Schools,DIV,54.4
2018 - 2019,Bedford County Public Schools,DIV,67.3
2018 - 2019,Bland County Public Schools,DIV,57.7
2018 - 2019,Botetourt County Public Schools,DIV,70
2018 - 2019,Bristol City Public Schools,DIV,67.4
2018 - 2019,Brunswick County Public Schools,DIV,58.7
2018 - 2019,Buchanan County Public Schools,DIV,63.1
2018 - 2019,Buckingham County Public Schools,DIV,60.5
2018 - 2019,Buena Vista City Public Schools,DIV,66.6
2018 - 2019,Campbell County Public Schools,DIV,64.5
2018 - 2019,Caroline County Public Schools,DIV,64.6
2018 - 2019,Carroll County Public Schools,DIV,67.2
2018 - 2019,Charles City County Public Schools,DIV,56.2
2018 - 2019,Charlotte County Public Schools,DIV,64.9
2018 - 2019,Charlottesville City Public Schools,DIV,71.9
2018 - 2019,Chesapeake City Public Schools,DIV,68.8
2018 - 2019,Chesterfield County Public Schools,DIV,68.3
2018 - 2019,Clarke County Public Schools,DIV,64
2018 - 2019,Colonial Beach Public Schools,DIV,58.2
2018 - 2019,Colonial Heights City Public Schools,DIV,67.2
2018 - 2019,Covington City Public Schools,DIV,69.8
2018 - 2019,Craig County Public Schools,DIV,63.9
2018 - 2019,Culpeper County Public Schools,DIV,70.5
2018 - 2019,Cumberland County Public Schools,DIV,59.5
2018 - 2019,Danville City Public Schools,DIV,59.7
2018 - 2019,Dickenson County Public Schools,DIV,59.3
2018 - 2019,Dinwiddie County Public Schools,DIV,64
2018 - 2019,Essex County Public Schools,DIV,61.2
2018 - 2019,Fairfax County Public Schools,DIV,69.4
2018 - 2019,Falls Church City Public Schools,DIV,65.7
2018 - 2019,Fauquier County Public Schools,DIV,67.9
2018 - 2019,Floyd County Public Schools,DIV,63.8
2018 - 2019,Fluvanna County Public Schools,DIV,63.9
2018 - 2019,Franklin City Public Schools,DIV,58.6
2018 - 2019,Franklin County Public Schools,DIV,67.3
2018 - 2019,Frederick County Public Schools,DIV,67.2
2018 - 2019,Fredericksburg City Public Schools,DIV,64.3
2018 - 2019,Galax City Public Schools,DIV,66.7
2018 - 2019,Giles County Public Schools,DIV,64.1
2018 - 2019,Gloucester County Public Schools,DIV,63.8
2018 - 2019,Goochland County Public Schools,DIV,66.9
2018 - 2019,Grayson County Public Schools,DIV,59.8
2018 - 2019,Greene County Public Schools,DIV,68.5
2018 - 2019,Greensville County Public Schools,DIV,65.5
2018 - 2019,Halifax County Public Schools,DIV,64.1
2018 - 2019,Hampton City Public Schools,DIV,64.1
2018 - 2019,Hanover County Public Schools,DIV,70.3
2018 - 2019,Harrisonburg City Public Schools,DIV,64.6
2018 - 2019,Henrico County Public Schools,DIV,67.1
2018 - 2019,Henry County Public Schools,DIV,67.3
2018 - 2019,Highland County Public Schools,DIV,65.8
2018 - 2019,Hopewell City Public Schools,DIV,68.5
2018 - 2019,Isle of Wight County Public Schools,DIV,65.8
2018 - 2019,King George County Public Schools,DIV,65.5
2018 - 2019,King William County Public Schools,DIV,64.4
2018 - 2019,King and Queen County Public Schools,DIV,60.9
2018 - 2019,Lancaster County Public Schools,DIV,61.5
2018 - 2019,Lee County Public Schools,DIV,62.3
2018 - 2019,Lexington City Public Schools,DIV,77.6
2018 - 2019,Loudoun County Public Schools,DIV,68.7
2018 - 2019,Louisa County Public Schools,DIV,62.2
2018 - 2019,Lunenburg County Public Schools,DIV,64.3
2018 - 2019,Lynchburg City Public Schools,DIV,62.9
2018 - 2019,Madison County Public Schools,DIV,61.5
2018 - 2019,Manassas City Public Schools,DIV,64.3
2018 - 2019,Manassas Park City Public Schools,DIV,69.9
2018 - 2019,Martinsville City Public Schools,DIV,59.9
2018 - 2019,Mathews County Public Schools,DIV,61.2
2018 - 2019,Mecklenburg County Public Schools,DIV,66.4
2018 - 2019,Middlesex County Public Schools,DIV,62.4
2018 - 2019,Montgomery County Public Schools,DIV,67.1
2018 - 2019,Nelson County Public Schools,DIV,62.9
2018 - 2019,New Kent County Public Schools,DIV,66.7
2018 - 2019,Newport News City Public Schools,DIV,62.4
2018 - 2019,Norfolk City Public Schools,DIV,67.7
2018 - 2019,Northampton County Public Schools,DIV,57.6
2018 - 2019,Northumberland County Public Schools,DIV,62.8
2018 - 2019,Norton City Public Schools,DIV,61.5
2018 - 2019,Nottoway County Public Schools,DIV,62.3
2018 - 2019,Orange County Public Schools,DIV,64.5
2018 - 2019,Page County Public Schools,DIV,67.9
2018 - 2019,Patrick County Public Schools,DIV,67.3
2018 - 2019,Petersburg City Public Schools,DIV,58.6
2018 - 2019,Pittsylvania County Public Schools,DIV,69.4
2018 - 2019,Poquoson City Public Schools,DIV,67.2
2018 - 2019,Portsmouth City Public Schools,DIV,65.9
2018 - 2019,Powhatan County Public Schools,DIV,67.3
2018 - 2019,Prince Edward County Public Schools,DIV,65.2
2018 - 2019,Prince George County Public Schools,DIV,65
2018 - 2019,Prince William County Public Schools,DIV,64.2
2018 - 2019,Pulaski County Public Schools,DIV,63.3
2018 - 2019,Radford City Public Schools,DIV,68.5
2018 - 2019,Rappahannock County Public Schools,DIV,67.3
2018 - 2019,Richmond City Public Schools,DIV,64.9
2018 - 2019,Richmond County Public Schools,DIV,65.8
2018 - 2019,Roanoke City Public Schools,DIV,64.5
2018 - 2019,Roanoke County Public Schools,DIV,71.4
2018 - 2019,Rockbridge County Public Schools,DIV,65.5
2018 - 2019,Rockingham County Public Schools,DIV,69.1
2018 - 2019,Russell County Public Schools,DIV,67
2018 - 2019,Salem City Public Schools,DIV,69.8
2018 - 2019,Scott County Public Schools,DIV,69.3
2018 - 2019,Shenandoah County Public Schools,DIV,67.6
2018 - 2019,Smyth County Public Schools,DIV,70
2018 - 2019,Southampton County Public Schools,DIV,60.4
2018 - 2019,Spotsylvania County Public Schools,DIV,64.7
2018 - 2019,Stafford County Public Schools,DIV,68.9
2018 - 2019,Staunton City Public Schools,DIV,71.6
2018 - 2019,Suffolk City Public Schools,DIV,71.2
2018 - 2019,Surry County Public Schools,DIV,59.1
2018 - 2019,Sussex County Public Schools,DIV,56
2018 - 2019,Tazewell County Public Schools,DIV,67.5
2018 - 2019,Virginia Beach City Public Schools,DIV,66.9
2018 - 2019,Warren County Public Schools,DIV,65.5
2018 - 2019,Washington County Public Schools,DIV,68.2
2018 - 2019,Waynesboro City Public Schools,DIV,68.4
2018 - 2019,West Point Public Schools,DIV,63.2
2018 - 2019,Westmoreland County Public Schools,DIV,57.1
2018 - 2019,Williamsburg-James City County Public Schools,DIV,63
2018 - 2019,Winchester City Public Schools,DIV,62.8
2018 - 2019,Wise County Public Schools,DIV,66.9
2018 - 2019,Wythe County Public Schools,DIV,66.2
2018 - 2019,York County Public Schools,DIV,67.4
