Localities__Locality__LocalityName,Localities__Locality__LocalityCode,Localities__PrecinctsReporting,Localities__PrecinctsParticipating,Localities__LastModified,Localities__Candidates__BallotName,Localities__Candidates__BallotOrder,Localities__Candidates__Votes,Localities__Candidates__Percentage,Localities__Candidates__PoliticalParty
ACCOMACK COUNTY,1,17,17,2020-11-06T17:29:18.02,Joseph R. Biden,1,7578,44.68%,Democratic
ACCOMACK COUNTY,,,,,Donald J. Trump,2,9172,54.07%,Republican
ACCOMACK COUNTY,,,,,Jo Jorgensen,3,188,1.11%,Libertarian
ACCOMACK COUNTY,,,,,Write In,2147483647,24,0.14%,Write-In
ALBEMARLE COUNTY,3,31,31,2020-11-06T15:51:44.677,Joseph R. Biden,1,42466,65.68%,Democratic
ALBEMARLE COUNTY,,,,,Donald J. Trump,2,20804,32.18%,Republican
ALBEMARLE COUNTY,,,,,Jo Jorgensen,3,1014,1.57%,Libertarian
ALBEMARLE COUNTY,,,,,Write In,2147483647,373,0.58%,Write-In
ALEXANDRIA CITY,510,31,31,2020-11-08T15:20:57.297,Joseph R. Biden,1,66240,80.28%,Democratic
ALEXANDRIA CITY,,,,,Donald J. Trump,2,14544,17.63%,Republican
ALEXANDRIA CITY,,,,,Jo Jorgensen,3,1022,1.24%,Libertarian
ALEXANDRIA CITY,,,,,Write In,2147483647,702,0.85%,Write-In
ALLEGHANY COUNTY,5,13,13,2020-11-06T14:41:15.303,Joseph R. Biden,1,2243,27.34%,Democratic
ALLEGHANY COUNTY,,,,,Donald J. Trump,2,5859,71.43%,Republican
ALLEGHANY COUNTY,,,,,Jo Jorgensen,3,89,1.08%,Libertarian
ALLEGHANY COUNTY,,,,,Write In,2147483647,12,0.15%,Write-In
AMELIA COUNTY,7,6,6,2020-11-09T19:23:59.17,Joseph R. Biden,1,2411,30.55%,Democratic
AMELIA COUNTY,,,,,Donald J. Trump,2,5390,68.29%,Republican
AMELIA COUNTY,,,,,Jo Jorgensen,3,80,1.01%,Libertarian
AMELIA COUNTY,,,,,Write In,2147483647,12,0.15%,Write-In
AMHERST COUNTY,9,12,12,2020-11-12T18:12:26.643,Joseph R. Biden,1,5672,33.35%,Democratic
AMHERST COUNTY,,,,,Donald J. Trump,2,11041,64.93%,Republican
AMHERST COUNTY,,,,,Jo Jorgensen,3,251,1.48%,Libertarian
AMHERST COUNTY,,,,,Write In,2147483647,41,0.24%,Write-In
APPOMATTOX COUNTY,11,10,10,2020-11-06T17:34:10.283,Joseph R. Biden,1,2418,26.09%,Democratic
APPOMATTOX COUNTY,,,,,Donald J. Trump,2,6702,72.31%,Republican
APPOMATTOX COUNTY,,,,,Jo Jorgensen,3,119,1.28%,Libertarian
APPOMATTOX COUNTY,,,,,Write In,2147483647,29,0.31%,Write-In
ARLINGTON COUNTY,13,55,55,2020-11-07T15:01:58.81,Joseph R. Biden,1,105344,80.60%,Democratic
ARLINGTON COUNTY,,,,,Donald J. Trump,2,22318,17.08%,Republican
ARLINGTON COUNTY,,,,,Jo Jorgensen,3,1836,1.40%,Libertarian
ARLINGTON COUNTY,,,,,Write In,2147483647,1201,0.92%,Write-In
AUGUSTA COUNTY,15,26,26,2020-11-09T11:48:04.89,Joseph R. Biden,1,10840,25.64%,Democratic
AUGUSTA COUNTY,,,,,Donald J. Trump,2,30714,72.65%,Republican
AUGUSTA COUNTY,,,,,Jo Jorgensen,3,608,1.44%,Libertarian
AUGUSTA COUNTY,,,,,Write In,2147483647,116,0.27%,Write-In
BATH COUNTY,17,8,8,2020-11-06T12:53:33.4,Joseph R. Biden,1,646,25.83%,Democratic
BATH COUNTY,,,,,Donald J. Trump,2,1834,73.33%,Republican
BATH COUNTY,,,,,Jo Jorgensen,3,16,0.64%,Libertarian
BATH COUNTY,,,,,Write In,2147483647,5,0.20%,Write-In
BEDFORD COUNTY,19,33,33,2020-11-08T16:58:19.67,Joseph R. Biden,1,12176,25.02%,Democratic
BEDFORD COUNTY,,,,,Donald J. Trump,2,35600,73.15%,Republican
BEDFORD COUNTY,,,,,Jo Jorgensen,3,708,1.45%,Libertarian
BEDFORD COUNTY,,,,,Write In,2147483647,185,0.38%,Write-In
BLAND COUNTY,21,8,8,2020-11-06T14:58:19.347,Joseph R. Biden,1,532,15.29%,Democratic
BLAND COUNTY,,,,,Donald J. Trump,2,2903,83.44%,Republican
BLAND COUNTY,,,,,Jo Jorgensen,3,40,1.15%,Libertarian
BLAND COUNTY,,,,,Write In,2147483647,4,0.11%,Write-In
BOTETOURT COUNTY,23,11,11,2020-11-12T12:26:44.31,Joseph R. Biden,1,5700,26.99%,Democratic
BOTETOURT COUNTY,,,,,Donald J. Trump,2,15099,71.49%,Republican
BOTETOURT COUNTY,,,,,Jo Jorgensen,3,264,1.25%,Libertarian
BOTETOURT COUNTY,,,,,Write In,2147483647,57,0.27%,Write-In
BRISTOL CITY,520,5,5,2020-11-06T13:47:46.403,Joseph R. Biden,1,2313,29.63%,Democratic
BRISTOL CITY,,,,,Donald J. Trump,2,5347,68.50%,Republican
BRISTOL CITY,,,,,Jo Jorgensen,3,125,1.60%,Libertarian
BRISTOL CITY,,,,,Write In,2147483647,21,0.27%,Write-In
BRUNSWICK COUNTY,25,14,14,2020-11-06T13:23:27.597,Joseph R. Biden,1,4552,57.27%,Democratic
BRUNSWICK COUNTY,,,,,Donald J. Trump,2,3357,42.24%,Republican
BRUNSWICK COUNTY,,,,,Jo Jorgensen,3,34,0.43%,Libertarian
BRUNSWICK COUNTY,,,,,Write In,2147483647,5,0.06%,Write-In
BUCHANAN COUNTY,27,18,18,2020-11-10T10:04:46.877,Joseph R. Biden,1,1587,15.94%,Democratic
BUCHANAN COUNTY,,,,,Donald J. Trump,2,8311,83.50%,Republican
BUCHANAN COUNTY,,,,,Jo Jorgensen,3,44,0.44%,Libertarian
BUCHANAN COUNTY,,,,,Write In,2147483647,11,0.11%,Write-In
BUCKINGHAM COUNTY,29,11,11,2020-11-06T15:01:45.7,Joseph R. Biden,1,3471,42.71%,Democratic
BUCKINGHAM COUNTY,,,,,Donald J. Trump,2,4544,55.92%,Republican
BUCKINGHAM COUNTY,,,,,Jo Jorgensen,3,93,1.14%,Libertarian
BUCKINGHAM COUNTY,,,,,Write In,2147483647,18,0.22%,Write-In
BUENA VISTA CITY,530,3,3,2020-11-10T09:17:21.203,Joseph R. Biden,1,825,29.72%,Democratic
BUENA VISTA CITY,,,,,Donald J. Trump,2,1863,67.11%,Republican
BUENA VISTA CITY,,,,,Jo Jorgensen,3,72,2.59%,Libertarian
BUENA VISTA CITY,,,,,Write In,2147483647,16,0.58%,Write-In
CAMPBELL COUNTY,31,17,17,2020-11-10T14:21:29.123,Joseph R. Biden,1,8070,27.00%,Democratic
CAMPBELL COUNTY,,,,,Donald J. Trump,2,21245,71.07%,Republican
CAMPBELL COUNTY,,,,,Jo Jorgensen,3,490,1.64%,Libertarian
CAMPBELL COUNTY,,,,,Write In,2147483647,87,0.29%,Write-In
CAROLINE COUNTY,33,13,13,2020-11-06T16:03:15.63,Joseph R. Biden,1,7657,47.01%,Democratic
CAROLINE COUNTY,,,,,Donald J. Trump,2,8336,51.18%,Republican
CAROLINE COUNTY,,,,,Jo Jorgensen,3,259,1.59%,Libertarian
CAROLINE COUNTY,,,,,Write In,2147483647,36,0.22%,Write-In
CARROLL COUNTY,35,18,18,2020-11-06T13:07:59.687,Joseph R. Biden,1,2842,18.16%,Democratic
CARROLL COUNTY,,,,,Donald J. Trump,2,12659,80.88%,Republican
CARROLL COUNTY,,,,,Jo Jorgensen,3,118,0.75%,Libertarian
CARROLL COUNTY,,,,,Write In,2147483647,32,0.20%,Write-In
CHARLES CITY COUNTY,36,4,4,2020-11-06T19:05:47.49,Joseph R. Biden,1,2624,59.09%,Democratic
CHARLES CITY COUNTY,,,,,Donald J. Trump,2,1761,39.65%,Republican
CHARLES CITY COUNTY,,,,,Jo Jorgensen,3,54,1.22%,Libertarian
CHARLES CITY COUNTY,,,,,Write In,2147483647,2,0.05%,Write-In
CHARLOTTE COUNTY,37,8,8,2020-11-06T16:24:56.687,Joseph R. Biden,1,2317,37.43%,Democratic
CHARLOTTE COUNTY,,,,,Donald J. Trump,2,3815,61.62%,Republican
CHARLOTTE COUNTY,,,,,Jo Jorgensen,3,48,0.78%,Libertarian
CHARLOTTE COUNTY,,,,,Write In,2147483647,11,0.18%,Write-In
CHARLOTTESVILLE CITY,540,10,10,2020-11-06T18:56:54.547,Joseph R. Biden,1,20696,85.50%,Democratic
CHARLOTTESVILLE CITY,,,,,Donald J. Trump,2,3094,12.78%,Republican
CHARLOTTESVILLE CITY,,,,,Jo Jorgensen,3,311,1.28%,Libertarian
CHARLOTTESVILLE CITY,,,,,Write In,2147483647,104,0.43%,Write-In
CHESAPEAKE CITY,550,64,64,2020-11-09T18:12:13.733,Joseph R. Biden,1,66377,52.22%,Democratic
CHESAPEAKE CITY,,,,,Donald J. Trump,2,58180,45.77%,Republican
CHESAPEAKE CITY,,,,,Jo Jorgensen,3,2098,1.65%,Libertarian
CHESAPEAKE CITY,,,,,Write In,2147483647,453,0.36%,Write-In
CHESTERFIELD COUNTY,41,81,81,2020-11-10T12:48:18.003,Joseph R. Biden,1,106935,52.45%,Democratic
CHESTERFIELD COUNTY,,,,,Donald J. Trump,2,93326,45.77%,Republican
CHESTERFIELD COUNTY,,,,,Jo Jorgensen,3,2927,1.44%,Libertarian
CHESTERFIELD COUNTY,,,,,Write In,2147483647,696,0.34%,Write-In
CLARKE COUNTY,43,8,8,2020-11-06T14:37:30.667,Joseph R. Biden,1,3920,41.98%,Democratic
CLARKE COUNTY,,,,,Donald J. Trump,2,5192,55.61%,Republican
CLARKE COUNTY,,,,,Jo Jorgensen,3,178,1.91%,Libertarian
CLARKE COUNTY,,,,,Write In,2147483647,47,0.50%,Write-In
COLONIAL HEIGHTS CITY,570,6,6,2020-11-06T14:22:14.88,Joseph R. Biden,1,2972,32.50%,Democratic
COLONIAL HEIGHTS CITY,,,,,Donald J. Trump,2,6007,65.68%,Republican
COLONIAL HEIGHTS CITY,,,,,Jo Jorgensen,3,135,1.48%,Libertarian
COLONIAL HEIGHTS CITY,,,,,Write In,2147483647,32,0.35%,Write-In
COVINGTON CITY,580,6,6,2020-11-08T20:15:09.267,Joseph R. Biden,1,964,37.03%,Democratic
COVINGTON CITY,,,,,Donald J. Trump,2,1580,60.70%,Republican
COVINGTON CITY,,,,,Jo Jorgensen,3,50,1.92%,Libertarian
COVINGTON CITY,,,,,Write In,2147483647,9,0.35%,Write-In
CRAIG COUNTY,45,9,9,2020-11-06T18:23:17.567,Joseph R. Biden,1,587,18.52%,Democratic
CRAIG COUNTY,,,,,Donald J. Trump,2,2536,80.03%,Republican
CRAIG COUNTY,,,,,Jo Jorgensen,3,40,1.26%,Libertarian
CRAIG COUNTY,,,,,Write In,2147483647,6,0.19%,Write-In
CULPEPER COUNTY,47,16,16,2020-11-06T17:22:07.217,Joseph R. Biden,1,10617,39.15%,Democratic
CULPEPER COUNTY,,,,,Donald J. Trump,2,16012,59.05%,Republican
CULPEPER COUNTY,,,,,Jo Jorgensen,3,406,1.50%,Libertarian
CULPEPER COUNTY,,,,,Write In,2147483647,81,0.30%,Write-In
CUMBERLAND COUNTY,49,6,6,2020-11-10T13:58:15.607,Joseph R. Biden,1,2227,41.94%,Democratic
CUMBERLAND COUNTY,,,,,Donald J. Trump,2,3019,56.85%,Republican
CUMBERLAND COUNTY,,,,,Jo Jorgensen,3,53,1.00%,Libertarian
CUMBERLAND COUNTY,,,,,Write In,2147483647,11,0.21%,Write-In
DANVILLE CITY,590,17,17,2020-11-06T16:06:26.473,Joseph R. Biden,1,11710,60.40%,Democratic
DANVILLE CITY,,,,,Donald J. Trump,2,7428,38.31%,Republican
DANVILLE CITY,,,,,Jo Jorgensen,3,195,1.01%,Libertarian
DANVILLE CITY,,,,,Write In,2147483647,56,0.29%,Write-In
DICKENSON COUNTY,51,11,11,2020-11-06T13:25:29.22,Joseph R. Biden,1,1503,20.58%,Democratic
DICKENSON COUNTY,,,,,Donald J. Trump,2,5748,78.71%,Republican
DICKENSON COUNTY,,,,,Jo Jorgensen,3,44,0.60%,Libertarian
DICKENSON COUNTY,,,,,Write In,2147483647,8,0.11%,Write-In
DINWIDDIE COUNTY,53,14,14,2020-11-09T08:10:41.48,Joseph R. Biden,1,6224,41.24%,Democratic
DINWIDDIE COUNTY,,,,,Donald J. Trump,2,8695,57.61%,Republican
DINWIDDIE COUNTY,,,,,Jo Jorgensen,3,144,0.95%,Libertarian
DINWIDDIE COUNTY,,,,,Write In,2147483647,29,0.19%,Write-In
EMPORIA CITY,595,8,8,2020-11-06T12:29:10.347,Joseph R. Biden,1,1612,67.70%,Democratic
EMPORIA CITY,,,,,Donald J. Trump,2,754,31.67%,Republican
EMPORIA CITY,,,,,Jo Jorgensen,3,13,0.55%,Libertarian
EMPORIA CITY,,,,,Write In,2147483647,2,0.08%,Write-In
ESSEX COUNTY,57,5,5,2020-11-06T14:34:42.713,Joseph R. Biden,1,3038,49.17%,Democratic
ESSEX COUNTY,,,,,Donald J. Trump,2,3075,49.77%,Republican
ESSEX COUNTY,,,,,Jo Jorgensen,3,58,0.94%,Libertarian
ESSEX COUNTY,,,,,Write In,2147483647,7,0.11%,Write-In
FAIRFAX CITY,600,7,7,2020-11-06T16:26:49.767,Joseph R. Biden,1,9174,68.04%,Democratic
FAIRFAX CITY,,,,,Donald J. Trump,2,4007,29.72%,Republican
FAIRFAX CITY,,,,,Jo Jorgensen,3,201,1.49%,Libertarian
FAIRFAX CITY,,,,,Write In,2147483647,101,0.75%,Write-In
FAIRFAX COUNTY,59,244,244,2020-11-10T09:53:59.96,Joseph R. Biden,1,419943,69.89%,Democratic
FAIRFAX COUNTY,,,,,Donald J. Trump,2,168401,28.03%,Republican
FAIRFAX COUNTY,,,,,Jo Jorgensen,3,8014,1.33%,Libertarian
FAIRFAX COUNTY,,,,,Write In,2147483647,4465,0.74%,Write-In
FALLS CHURCH CITY,610,4,4,2020-11-06T14:41:09.823,Joseph R. Biden,1,7146,81.03%,Democratic
FALLS CHURCH CITY,,,,,Donald J. Trump,2,1490,16.90%,Republican
FALLS CHURCH CITY,,,,,Jo Jorgensen,3,114,1.29%,Libertarian
FALLS CHURCH CITY,,,,,Write In,2147483647,69,0.78%,Write-In
FAUQUIER COUNTY,61,21,21,2020-11-08T10:00:50.857,Joseph R. Biden,1,17565,40.23%,Democratic
FAUQUIER COUNTY,,,,,Donald J. Trump,2,25106,57.50%,Republican
FAUQUIER COUNTY,,,,,Jo Jorgensen,3,777,1.78%,Libertarian
FAUQUIER COUNTY,,,,,Write In,2147483647,213,0.49%,Write-In
FLOYD COUNTY,63,6,6,2020-11-09T10:03:34.183,Joseph R. Biden,1,3004,31.93%,Democratic
FLOYD COUNTY,,,,,Donald J. Trump,2,6225,66.17%,Republican
FLOYD COUNTY,,,,,Jo Jorgensen,3,147,1.56%,Libertarian
FLOYD COUNTY,,,,,Write In,2147483647,32,0.34%,Write-In
FLUVANNA COUNTY,65,6,6,2020-11-09T11:57:47.847,Joseph R. Biden,1,7414,46.81%,Democratic
FLUVANNA COUNTY,,,,,Donald J. Trump,2,8155,51.48%,Republican
FLUVANNA COUNTY,,,,,Jo Jorgensen,3,226,1.43%,Libertarian
FLUVANNA COUNTY,,,,,Write In,2147483647,45,0.28%,Write-In
FRANKLIN CITY,620,7,7,2020-11-09T08:59:57.617,Joseph R. Biden,1,2525,62.22%,Democratic
FRANKLIN CITY,,,,,Donald J. Trump,2,1487,36.64%,Republican
FRANKLIN CITY,,,,,Jo Jorgensen,3,35,0.86%,Libertarian
FRANKLIN CITY,,,,,Write In,2147483647,11,0.27%,Write-In
FRANKLIN COUNTY,67,24,24,2020-11-07T15:01:24.247,Joseph R. Biden,1,8381,28.22%,Democratic
FRANKLIN COUNTY,,,,,Donald J. Trump,2,20895,70.35%,Republican
FRANKLIN COUNTY,,,,,Jo Jorgensen,3,354,1.19%,Libertarian
FRANKLIN COUNTY,,,,,Write In,2147483647,72,0.24%,Write-In
FREDERICK COUNTY,69,22,22,2020-11-10T08:46:17.5,Joseph R. Biden,1,17207,35.33%,Democratic
FREDERICK COUNTY,,,,,Donald J. Trump,2,30558,62.74%,Republican
FREDERICK COUNTY,,,,,Jo Jorgensen,3,781,1.60%,Libertarian
FREDERICK COUNTY,,,,,Write In,2147483647,157,0.32%,Write-In
FREDERICKSBURG CITY,630,6,6,2020-11-06T14:31:14.117,Joseph R. Biden,1,8517,66.22%,Democratic
FREDERICKSBURG CITY,,,,,Donald J. Trump,2,4037,31.39%,Republican
FREDERICKSBURG CITY,,,,,Jo Jorgensen,3,240,1.87%,Libertarian
FREDERICKSBURG CITY,,,,,Write In,2147483647,68,0.53%,Write-In
GALAX CITY,640,4,4,2020-11-09T13:23:27.697,Joseph R. Biden,1,777,29.45%,Democratic
GALAX CITY,,,,,Donald J. Trump,2,1838,69.67%,Republican
GALAX CITY,,,,,Jo Jorgensen,3,18,0.68%,Libertarian
GALAX CITY,,,,,Write In,2147483647,5,0.19%,Write-In
GILES COUNTY,71,10,10,2020-11-08T12:07:18.007,Joseph R. Biden,1,2156,23.50%,Democratic
GILES COUNTY,,,,,Donald J. Trump,2,6876,74.93%,Republican
GILES COUNTY,,,,,Jo Jorgensen,3,125,1.36%,Libertarian
GILES COUNTY,,,,,Write In,2147483647,19,0.21%,Write-In
GLOUCESTER COUNTY,73,12,12,2020-11-06T14:16:17.073,Joseph R. Biden,1,6964,31.25%,Democratic
GLOUCESTER COUNTY,,,,,Donald J. Trump,2,14875,66.76%,Republican
GLOUCESTER COUNTY,,,,,Jo Jorgensen,3,389,1.75%,Libertarian
GLOUCESTER COUNTY,,,,,Write In,2147483647,54,0.24%,Write-In
GOOCHLAND COUNTY,75,11,11,2020-11-09T09:44:33.5,Joseph R. Biden,1,6685,39.44%,Democratic
GOOCHLAND COUNTY,,,,,Donald J. Trump,2,9966,58.80%,Republican
GOOCHLAND COUNTY,,,,,Jo Jorgensen,3,242,1.43%,Libertarian
GOOCHLAND COUNTY,,,,,Write In,2147483647,57,0.34%,Write-In
GRAYSON COUNTY,77,16,16,2020-11-06T14:30:34.643,Joseph R. Biden,1,1535,18.88%,Democratic
GRAYSON COUNTY,,,,,Donald J. Trump,2,6529,80.30%,Republican
GRAYSON COUNTY,,,,,Jo Jorgensen,3,56,0.69%,Libertarian
GRAYSON COUNTY,,,,,Write In,2147483647,11,0.14%,Write-In
GREENE COUNTY,79,6,6,2020-11-08T13:27:21.29,Joseph R. Biden,1,4163,36.80%,Democratic
GREENE COUNTY,,,,,Donald J. Trump,2,6866,60.70%,Republican
GREENE COUNTY,,,,,Jo Jorgensen,3,241,2.13%,Libertarian
GREENE COUNTY,,,,,Write In,2147483647,41,0.36%,Write-In
GREENSVILLE COUNTY,81,10,10,2020-11-06T17:27:04.373,Joseph R. Biden,1,2627,57.43%,Democratic
GREENSVILLE COUNTY,,,,,Donald J. Trump,2,1914,41.85%,Republican
GREENSVILLE COUNTY,,,,,Jo Jorgensen,3,23,0.50%,Libertarian
GREENSVILLE COUNTY,,,,,Write In,2147483647,10,0.22%,Write-In
HALIFAX COUNTY,83,21,21,2020-11-09T11:42:29.78,Joseph R. Biden,1,7666,42.01%,Democratic
HALIFAX COUNTY,,,,,Donald J. Trump,2,10418,57.09%,Republican
HALIFAX COUNTY,,,,,Jo Jorgensen,3,140,0.77%,Libertarian
HALIFAX COUNTY,,,,,Write In,2147483647,24,0.13%,Write-In
HAMPTON CITY,650,31,31,2020-11-10T14:52:55.937,Joseph R. Biden,1,46220,70.14%,Democratic
HAMPTON CITY,,,,,Donald J. Trump,2,18430,27.97%,Republican
HAMPTON CITY,,,,,Jo Jorgensen,3,1006,1.53%,Libertarian
HAMPTON CITY,,,,,Write In,2147483647,245,0.37%,Write-In
HANOVER COUNTY,85,37,37,2020-11-06T16:02:35.777,Joseph R. Biden,1,25307,35.66%,Democratic
HANOVER COUNTY,,,,,Donald J. Trump,2,44318,62.45%,Republican
HANOVER COUNTY,,,,,Jo Jorgensen,3,1103,1.55%,Libertarian
HANOVER COUNTY,,,,,Write In,2147483647,239,0.34%,Write-In
HARRISONBURG CITY,660,9,9,2020-11-07T16:20:45.93,Joseph R. Biden,1,11022,64.51%,Democratic
HARRISONBURG CITY,,,,,Donald J. Trump,2,5591,32.72%,Republican
HARRISONBURG CITY,,,,,Jo Jorgensen,3,364,2.13%,Libertarian
HARRISONBURG CITY,,,,,Write In,2147483647,109,0.64%,Write-In
HENRICO COUNTY,87,92,92,2020-11-08T10:59:04.703,Joseph R. Biden,1,116572,63.65%,Democratic
HENRICO COUNTY,,,,,Donald J. Trump,2,63440,34.64%,Republican
HENRICO COUNTY,,,,,Jo Jorgensen,3,2414,1.32%,Libertarian
HENRICO COUNTY,,,,,Write In,2147483647,726,0.40%,Write-In
HENRY COUNTY,89,25,25,2020-11-06T21:41:13.22,Joseph R. Biden,1,9127,34.96%,Democratic
HENRY COUNTY,,,,,Donald J. Trump,2,16725,64.07%,Republican
HENRY COUNTY,,,,,Jo Jorgensen,3,223,0.85%,Libertarian
HENRY COUNTY,,,,,Write In,2147483647,30,0.11%,Write-In
HIGHLAND COUNTY,91,7,7,2020-11-06T13:36:26.333,Joseph R. Biden,1,417,27.20%,Democratic
HIGHLAND COUNTY,,,,,Donald J. Trump,2,1092,71.23%,Republican
HIGHLAND COUNTY,,,,,Jo Jorgensen,3,22,1.44%,Libertarian
HIGHLAND COUNTY,,,,,Write In,2147483647,2,0.13%,Write-In
HOPEWELL CITY,670,8,8,2020-11-20T16:31:48.627,Joseph R. Biden,1,5430,56.52%,Democratic
HOPEWELL CITY,,,,,Donald J. Trump,2,4020,41.84%,Republican
HOPEWELL CITY,,,,,Jo Jorgensen,3,131,1.36%,Libertarian
HOPEWELL CITY,,,,,Write In,2147483647,27,0.28%,Write-In
ISLE OF WIGHT COUNTY,93,15,15,2020-11-12T12:42:34.247,Joseph R. Biden,1,9399,40.07%,Democratic
ISLE OF WIGHT COUNTY,,,,,Donald J. Trump,2,13707,58.44%,Republican
ISLE OF WIGHT COUNTY,,,,,Jo Jorgensen,3,328,1.40%,Libertarian
ISLE OF WIGHT COUNTY,,,,,Write In,2147483647,22,0.09%,Write-In
JAMES CITY COUNTY,95,20,20,2020-11-09T09:30:09.433,Joseph R. Biden,1,25553,51.50%,Democratic
JAMES CITY COUNTY,,,,,Donald J. Trump,2,23153,46.66%,Republican
JAMES CITY COUNTY,,,,,Jo Jorgensen,3,710,1.43%,Libertarian
JAMES CITY COUNTY,,,,,Write In,2147483647,206,0.42%,Write-In
KING & QUEEN COUNTY,97,6,6,2020-11-06T14:22:58.847,Joseph R. Biden,1,1590,38.64%,Democratic
KING & QUEEN COUNTY,,,,,Donald J. Trump,2,2450,59.54%,Republican
KING & QUEEN COUNTY,,,,,Jo Jorgensen,3,64,1.56%,Libertarian
KING & QUEEN COUNTY,,,,,Write In,2147483647,11,0.27%,Write-In
KING GEORGE COUNTY,99,6,6,2020-11-06T13:34:12.983,Joseph R. Biden,1,5404,37.99%,Democratic
KING GEORGE COUNTY,,,,,Donald J. Trump,2,8446,59.38%,Republican
KING GEORGE COUNTY,,,,,Jo Jorgensen,3,314,2.21%,Libertarian
KING GEORGE COUNTY,,,,,Write In,2147483647,60,0.42%,Write-In
