Localities__Locality__LocalityName,Localities__Locality__LocalityCode,Localities__PrecinctsReporting,Localities__PrecinctsParticipating,Localities__LastModified,Localities__Candidates__BallotName,Localities__Candidates__BallotOrder,Localities__Candidates__Votes,Localities__Candidates__Percentage,Localities__Candidates__PoliticalParty
KING WILLIAM COUNTY,101,7,7,2020-11-06T15:00:48.997,Joseph R. Biden,1,3260,30.37%,Democratic
KING WILLIAM COUNTY,,,,,Donald J. Trump,2,7320,68.18%,Republican
KING WILLIAM COUNTY,,,,,Jo Jorgensen,3,142,1.32%,Libertarian
KING WILLIAM COUNTY,,,,,Write In,2147483647,14,0.13%,Write-In
LANCASTER COUNTY,103,7,7,2020-11-10T11:02:31.653,Joseph R. Biden,1,3368,47.09%,Democratic
LANCASTER COUNTY,,,,,Donald J. Trump,2,3697,51.69%,Republican
LANCASTER COUNTY,,,,,Jo Jorgensen,3,71,0.99%,Libertarian
LANCASTER COUNTY,,,,,Write In,2147483647,16,0.22%,Write-In
LEE COUNTY,105,17,17,2020-11-05T09:20:34.017,Joseph R. Biden,1,1489,14.97%,Democratic
LEE COUNTY,,,,,Donald J. Trump,2,8365,84.10%,Republican
LEE COUNTY,,,,,Jo Jorgensen,3,78,0.78%,Libertarian
LEE COUNTY,,,,,Write In,2147483647,14,0.14%,Write-In
LEXINGTON CITY,678,2,2,2020-11-09T15:44:12.51,Joseph R. Biden,1,1791,64.84%,Democratic
LEXINGTON CITY,,,,,Donald J. Trump,2,906,32.80%,Republican
LEXINGTON CITY,,,,,Jo Jorgensen,3,48,1.74%,Libertarian
LEXINGTON CITY,,,,,Write In,2147483647,17,0.62%,Write-In
LOUDOUN COUNTY,107,99,99,2020-11-06T16:31:09.167,Joseph R. Biden,1,138372,61.54%,Democratic
LOUDOUN COUNTY,,,,,Donald J. Trump,2,82088,36.51%,Republican
LOUDOUN COUNTY,,,,,Jo Jorgensen,3,3139,1.40%,Libertarian
LOUDOUN COUNTY,,,,,Write In,2147483647,1263,0.56%,Write-In
LOUISA COUNTY,109,16,16,2020-11-06T17:14:21.34,Joseph R. Biden,1,8269,37.73%,Democratic
LOUISA COUNTY,,,,,Donald J. Trump,2,13294,60.66%,Republican
LOUISA COUNTY,,,,,Jo Jorgensen,3,295,1.35%,Libertarian
LOUISA COUNTY,,,,,Write In,2147483647,57,0.26%,Write-In
LUNENBURG COUNTY,111,12,12,2020-11-12T13:14:36.507,Joseph R. Biden,1,2418,40.30%,Democratic
LUNENBURG COUNTY,,,,,Donald J. Trump,2,3537,58.95%,Republican
LUNENBURG COUNTY,,,,,Jo Jorgensen,3,40,0.67%,Libertarian
LUNENBURG COUNTY,,,,,Write In,2147483647,5,0.08%,Write-In
LYNCHBURG CITY,680,19,19,2020-11-07T15:07:31.84,Joseph R. Biden,1,18048,49.63%,Democratic
LYNCHBURG CITY,,,,,Donald J. Trump,2,17097,47.02%,Republican
LYNCHBURG CITY,,,,,Jo Jorgensen,3,857,2.36%,Libertarian
LYNCHBURG CITY,,,,,Write In,2147483647,361,0.99%,Write-In
MADISON COUNTY,113,10,10,2020-11-06T13:24:34.877,Joseph R. Biden,1,2698,33.19%,Democratic
MADISON COUNTY,,,,,Donald J. Trump,2,5300,65.20%,Republican
MADISON COUNTY,,,,,Jo Jorgensen,3,106,1.30%,Libertarian
MADISON COUNTY,,,,,Write In,2147483647,25,0.31%,Write-In
MANASSAS CITY,683,7,7,2020-11-09T13:41:24.44,Joseph R. Biden,1,10356,61.03%,Democratic
MANASSAS CITY,,,,,Donald J. Trump,2,6256,36.87%,Republican
MANASSAS CITY,,,,,Jo Jorgensen,3,280,1.65%,Libertarian
MANASSAS CITY,,,,,Write In,2147483647,76,0.45%,Write-In
MANASSAS PARK CITY,685,4,4,2020-11-10T13:57:23.473,Joseph R. Biden,1,3992,65.58%,Democratic
MANASSAS PARK CITY,,,,,Donald J. Trump,2,1979,32.51%,Republican
MANASSAS PARK CITY,,,,,Jo Jorgensen,3,100,1.64%,Libertarian
MANASSAS PARK CITY,,,,,Write In,2147483647,16,0.26%,Write-In
MARTINSVILLE CITY,690,7,7,2020-11-06T15:31:29.56,Joseph R. Biden,1,3766,62.63%,Democratic
MARTINSVILLE CITY,,,,,Donald J. Trump,2,2165,36.01%,Republican
MARTINSVILLE CITY,,,,,Jo Jorgensen,3,73,1.21%,Libertarian
MARTINSVILLE CITY,,,,,Write In,2147483647,9,0.15%,Write-In
MATHEWS COUNTY,115,4,4,2020-11-06T12:34:34.17,Joseph R. Biden,1,1825,31.33%,Democratic
MATHEWS COUNTY,,,,,Donald J. Trump,2,3901,66.96%,Republican
MATHEWS COUNTY,,,,,Jo Jorgensen,3,87,1.49%,Libertarian
MATHEWS COUNTY,,,,,Write In,2147483647,13,0.22%,Write-In
MECKLENBURG COUNTY,117,24,24,2020-11-06T15:21:39.497,Joseph R. Biden,1,6803,41.98%,Democratic
MECKLENBURG COUNTY,,,,,Donald J. Trump,2,9266,57.18%,Republican
MECKLENBURG COUNTY,,,,,Jo Jorgensen,3,113,0.70%,Libertarian
MECKLENBURG COUNTY,,,,,Write In,2147483647,22,0.14%,Write-In
MIDDLESEX COUNTY,119,7,7,2020-11-06T13:22:54.837,Joseph R. Biden,1,2491,36.71%,Democratic
MIDDLESEX COUNTY,,,,,Donald J. Trump,2,4196,61.84%,Republican
MIDDLESEX COUNTY,,,,,Jo Jorgensen,3,77,1.13%,Libertarian
MIDDLESEX COUNTY,,,,,Write In,2147483647,21,0.31%,Write-In
MONTGOMERY COUNTY,121,25,25,2020-11-09T09:53:07.3,Joseph R. Biden,1,23218,51.55%,Democratic
MONTGOMERY COUNTY,,,,,Donald J. Trump,2,20629,45.80%,Republican
MONTGOMERY COUNTY,,,,,Jo Jorgensen,3,942,2.09%,Libertarian
MONTGOMERY COUNTY,,,,,Write In,2147483647,248,0.55%,Write-In
NELSON COUNTY,125,10,10,2020-11-06T16:43:08.957,Joseph R. Biden,1,4327,46.45%,Democratic
NELSON COUNTY,,,,,Donald J. Trump,2,4812,51.65%,Republican
NELSON COUNTY,,,,,Jo Jorgensen,3,150,1.61%,Libertarian
NELSON COUNTY,,,,,Write In,2147483647,27,0.29%,Write-In
NEW KENT COUNTY,127,11,11,2020-11-15T11:14:40.43,Joseph R. Biden,1,4621,31.95%,Democratic
NEW KENT COUNTY,,,,,Donald J. Trump,2,9631,66.59%,Republican
NEW KENT COUNTY,,,,,Jo Jorgensen,3,172,1.19%,Libertarian
NEW KENT COUNTY,,,,,Write In,2147483647,39,0.27%,Write-In
NEWPORT NEWS CITY,700,46,46,2020-11-10T15:56:44.043,Joseph R. Biden,1,53099,65.39%,Democratic
NEWPORT NEWS CITY,,,,,Donald J. Trump,2,26377,32.48%,Republican
NEWPORT NEWS CITY,,,,,Jo Jorgensen,3,1438,1.77%,Libertarian
NEWPORT NEWS CITY,,,,,Write In,2147483647,289,0.36%,Write-In
NORFOLK CITY,710,49,49,2020-11-11T14:13:18.543,Joseph R. Biden,1,64440,71.69%,Democratic
NORFOLK CITY,,,,,Donald J. Trump,2,23443,26.08%,Republican
NORFOLK CITY,,,,,Jo Jorgensen,3,1608,1.79%,Libertarian
NORFOLK CITY,,,,,Write In,2147483647,390,0.43%,Write-In
NORTHAMPTON COUNTY,131,6,6,2020-11-06T15:04:02.22,Joseph R. Biden,1,3667,54.47%,Democratic
NORTHAMPTON COUNTY,,,,,Donald J. Trump,2,2955,43.89%,Republican
NORTHAMPTON COUNTY,,,,,Jo Jorgensen,3,100,1.49%,Libertarian
NORTHAMPTON COUNTY,,,,,Write In,2147483647,10,0.15%,Write-In
NORTHUMBERLAND COUNTY,133,6,6,2020-11-06T15:47:53.2,Joseph R. Biden,1,3252,41.61%,Democratic
NORTHUMBERLAND COUNTY,,,,,Donald J. Trump,2,4485,57.39%,Republican
NORTHUMBERLAND COUNTY,,,,,Jo Jorgensen,3,56,0.72%,Libertarian
NORTHUMBERLAND COUNTY,,,,,Write In,2147483647,22,0.28%,Write-In
NORTON CITY,720,1,1,2020-11-06T14:40:54.047,Joseph R. Biden,1,464,28.98%,Democratic
NORTON CITY,,,,,Donald J. Trump,2,1109,69.27%,Republican
NORTON CITY,,,,,Jo Jorgensen,3,21,1.31%,Libertarian
NORTON CITY,,,,,Write In,2147483647,7,0.44%,Write-In
NOTTOWAY COUNTY,135,10,10,2020-11-12T07:20:10.6,Joseph R. Biden,1,2971,41.98%,Democratic
NOTTOWAY COUNTY,,,,,Donald J. Trump,2,4027,56.89%,Republican
NOTTOWAY COUNTY,,,,,Jo Jorgensen,3,72,1.02%,Libertarian
NOTTOWAY COUNTY,,,,,Write In,2147483647,8,0.11%,Write-In
ORANGE COUNTY,137,11,11,2020-11-06T14:26:16.033,Joseph R. Biden,1,7995,38.54%,Democratic
ORANGE COUNTY,,,,,Donald J. Trump,2,12426,59.91%,Republican
ORANGE COUNTY,,,,,Jo Jorgensen,3,267,1.29%,Libertarian
ORANGE COUNTY,,,,,Write In,2147483647,54,0.26%,Write-In
PAGE COUNTY,139,6,6,2020-11-04T02:03:51.307,Joseph R. Biden,1,3007,24.03%,Democratic
PAGE COUNTY,,,,,Donald J. Trump,2,9345,74.68%,Republican
PAGE COUNTY,,,,,Jo Jorgensen,3,134,1.07%,Libertarian
PAGE COUNTY,,,,,Write In,2147483647,28,0.22%,Write-In
PATRICK COUNTY,141,14,14,2020-11-06T15:22:52.557,Joseph R. Biden,1,1954,20.50%,Democratic
PATRICK COUNTY,,,,,Donald J. Trump,2,7485,78.51%,Republican
PATRICK COUNTY,,,,,Jo Jorgensen,3,81,0.85%,Libertarian
PATRICK COUNTY,,,,,Write In,2147483647,14,0.15%,Write-In
PETERSBURG CITY,730,8,8,2020-11-07T20:59:33.253,Joseph R. Biden,1,12389,87.75%,Democratic
PETERSBURG CITY,,,,,Donald J. Trump,2,1584,11.22%,Republican
PETERSBURG CITY,,,,,Jo Jorgensen,3,108,0.76%,Libertarian
PETERSBURG CITY,,,,,Write In,2147483647,37,0.26%,Write-In
PITTSYLVANIA COUNTY,143,30,30,2020-11-12T13:35:13.27,Joseph R. Biden,1,10115,29.55%,Democratic
PITTSYLVANIA COUNTY,,,,,Donald J. Trump,2,23751,69.39%,Republican
PITTSYLVANIA COUNTY,,,,,Jo Jorgensen,3,285,0.83%,Libertarian
PITTSYLVANIA COUNTY,,,,,Write In,2147483647,76,0.22%,Write-In
POQUOSON CITY,735,4,4,2020-11-06T16:34:55.237,Joseph R. Biden,1,2054,26.14%,Democratic
POQUOSON CITY,,,,,Donald J. Trump,2,5605,71.34%,Republican
POQUOSON CITY,,,,,Jo Jorgensen,3,160,2.04%,Libertarian
POQUOSON CITY,,,,,Write In,2147483647,38,0.48%,Write-In
PORTSMOUTH CITY,740,32,32,2020-11-06T21:11:12.717,Joseph R. Biden,1,30948,69.42%,Democratic
PORTSMOUTH CITY,,,,,Donald J. Trump,2,12755,28.61%,Republican
PORTSMOUTH CITY,,,,,Jo Jorgensen,3,723,1.62%,Libertarian
PORTSMOUTH CITY,,,,,Write In,2147483647,156,0.35%,Write-In
POWHATAN COUNTY,145,13,13,2020-11-06T16:29:38.867,Joseph R. Biden,1,5320,26.96%,Democratic
POWHATAN COUNTY,,,,,Donald J. Trump,2,14055,71.24%,Republican
POWHATAN COUNTY,,,,,Jo Jorgensen,3,321,1.63%,Libertarian
POWHATAN COUNTY,,,,,Write In,2147483647,34,0.17%,Write-In
PRINCE EDWARD COUNTY,147,11,11,2020-11-06T16:18:09.967,Joseph R. Biden,1,4973,51.94%,Democratic
PRINCE EDWARD COUNTY,,,,,Donald J. Trump,2,4434,46.31%,Republican
PRINCE EDWARD COUNTY,,,,,Jo Jorgensen,3,136,1.42%,Libertarian
PRINCE EDWARD COUNTY,,,,,Write In,2147483647,31,0.32%,Write-In
PRINCE GEORGE COUNTY,149,11,11,2020-11-13T15:46:45.487,Joseph R. Biden,1,7103,40.75%,Democratic
PRINCE GEORGE COUNTY,,,,,Donald J. Trump,2,10103,57.96%,Republican
PRINCE GEORGE COUNTY,,,,,Jo Jorgensen,3,195,1.12%,Libertarian
PRINCE GEORGE COUNTY,,,,,Write In,2147483647,31,0.18%,Write-In
PRINCE WILLIAM COUNTY,153,94,94,2020-11-07T14:48:07.507,Joseph R. Biden,1,142863,62.64%,Democratic
PRINCE WILLIAM COUNTY,,,,,Donald J. Trump,2,81222,35.61%,Republican
PRINCE WILLIAM COUNTY,,,,,Jo Jorgensen,3,3242,1.42%,Libertarian
PRINCE WILLIAM COUNTY,,,,,Write In,2147483647,729,0.32%,Write-In
PULASKI COUNTY,155,13,13,2020-11-06T13:35:24.34,Joseph R. Biden,1,4925,28.34%,Democratic
PULASKI COUNTY,,,,,Donald J. Trump,2,12127,69.79%,Republican
PULASKI COUNTY,,,,,Jo Jorgensen,3,275,1.58%,Libertarian
PULASKI COUNTY,,,,,Write In,2147483647,49,0.28%,Write-In
RADFORD CITY,750,5,5,2020-11-06T16:39:40.363,Joseph R. Biden,1,3358,53.13%,Democratic
RADFORD CITY,,,,,Donald J. Trump,2,2786,44.08%,Republican
RADFORD CITY,,,,,Jo Jorgensen,3,145,2.29%,Libertarian
RADFORD CITY,,,,,Write In,2147483647,31,0.49%,Write-In
RAPPAHANNOCK COUNTY,157,7,7,2020-11-09T11:07:25.73,Joseph R. Biden,1,2096,42.11%,Democratic
RAPPAHANNOCK COUNTY,,,,,Donald J. Trump,2,2812,56.49%,Republican
RAPPAHANNOCK COUNTY,,,,,Jo Jorgensen,3,56,1.12%,Libertarian
RAPPAHANNOCK COUNTY,,,,,Write In,2147483647,14,0.28%,Write-In
RICHMOND CITY,760,70,70,2020-11-10T22:47:41.6,Joseph R. Biden,1,92175,82.92%,Democratic
RICHMOND CITY,,,,,Donald J. Trump,2,16603,14.94%,Republican
RICHMOND CITY,,,,,Jo Jorgensen,3,1691,1.52%,Libertarian
RICHMOND CITY,,,,,Write In,2147483647,690,0.62%,Write-In
RICHMOND COUNTY,159,6,6,2020-11-03T19:40:46.173,Joseph R. Biden,1,1513,36.88%,Democratic
RICHMOND COUNTY,,,,,Donald J. Trump,2,2547,62.09%,Republican
RICHMOND COUNTY,,,,,Jo Jorgensen,3,31,0.76%,Libertarian
RICHMOND COUNTY,,,,,Write In,2147483647,11,0.27%,Write-In
ROANOKE CITY,770,21,21,2020-11-10T08:34:55.037,Joseph R. Biden,1,26773,61.80%,Democratic
ROANOKE CITY,,,,,Donald J. Trump,2,15607,36.02%,Republican
ROANOKE CITY,,,,,Jo Jorgensen,3,777,1.79%,Libertarian
ROANOKE CITY,,,,,Write In,2147483647,166,0.38%,Write-In
ROANOKE COUNTY,161,34,34,2020-11-11T18:00:40.273,Joseph R. Biden,1,21801,38.12%,Democratic
ROANOKE COUNTY,,,,,Donald J. Trump,2,34268,59.93%,Republican
ROANOKE COUNTY,,,,,Jo Jorgensen,3,910,1.59%,Libertarian
ROANOKE COUNTY,,,,,Write In,2147483647,205,0.36%,Write-In
ROCKBRIDGE COUNTY,163,18,18,2020-11-09T15:34:42.487,Joseph R. Biden,1,4086,33.02%,Democratic
ROCKBRIDGE COUNTY,,,,,Donald J. Trump,2,8088,65.37%,Republican
ROCKBRIDGE COUNTY,,,,,Jo Jorgensen,3,165,1.33%,Libertarian
ROCKBRIDGE COUNTY,,,,,Write In,2147483647,34,0.27%,Write-In
ROCKINGHAM COUNTY,165,32,32,2020-11-09T14:59:18.393,Joseph R. Biden,1,12644,28.86%,Democratic
ROCKINGHAM COUNTY,,,,,Donald J. Trump,2,30349,69.27%,Republican
ROCKINGHAM COUNTY,,,,,Jo Jorgensen,3,653,1.49%,Libertarian
ROCKINGHAM COUNTY,,,,,Write In,2147483647,165,0.38%,Write-In
RUSSELL COUNTY,167,16,16,2020-11-06T13:48:32.083,Joseph R. Biden,1,2373,17.73%,Democratic
RUSSELL COUNTY,,,,,Donald J. Trump,2,10879,81.27%,Republican
RUSSELL COUNTY,,,,,Jo Jorgensen,3,116,0.87%,Libertarian
RUSSELL COUNTY,,,,,Write In,2147483647,18,0.13%,Write-In
SALEM CITY,775,11,11,2020-11-08T15:04:58.687,Joseph R. Biden,1,5148,39.45%,Democratic
SALEM CITY,,,,,Donald J. Trump,2,7683,58.87%,Republican
SALEM CITY,,,,,Jo Jorgensen,3,220,1.69%,Libertarian
SALEM CITY,,,,,Write In,2147483647,0,0.00%,Write-In
SCOTT COUNTY,169,18,18,2020-11-06T14:55:38.383,Joseph R. Biden,1,1692,15.57%,Democratic
SCOTT COUNTY,,,,,Donald J. Trump,2,9063,83.38%,Republican
SCOTT COUNTY,,,,,Jo Jorgensen,3,90,0.83%,Libertarian
SCOTT COUNTY,,,,,Write In,2147483647,24,0.22%,Write-In
SHENANDOAH COUNTY,171,13,13,2020-11-06T18:54:41.52,Joseph R. Biden,1,6836,28.86%,Democratic
SHENANDOAH COUNTY,,,,,Donald J. Trump,2,16463,69.51%,Republican
SHENANDOAH COUNTY,,,,,Jo Jorgensen,3,346,1.46%,Libertarian
SHENANDOAH COUNTY,,,,,Write In,2147483647,39,0.16%,Write-In
SMYTH COUNTY,173,15,15,2020-11-10T20:12:34.793,Joseph R. Biden,1,3008,21.28%,Democratic
SMYTH COUNTY,,,,,Donald J. Trump,2,10963,77.55%,Republican
SMYTH COUNTY,,,,,Jo Jorgensen,3,133,0.94%,Libertarian
SMYTH COUNTY,,,,,Write In,2147483647,32,0.23%,Write-In
SOUTHAMPTON COUNTY,175,14,14,2020-11-06T16:38:36.743,Joseph R. Biden,1,3969,40.56%,Democratic
SOUTHAMPTON COUNTY,,,,,Donald J. Trump,2,5730,58.55%,Republican
SOUTHAMPTON COUNTY,,,,,Jo Jorgensen,3,87,0.89%,Libertarian
SOUTHAMPTON COUNTY,,,,,Write In,2147483647,0,0.00%,Write-In
SPOTSYLVANIA COUNTY,177,27,27,2020-11-12T09:50:44.867,Joseph R. Biden,1,34307,45.55%,Democratic
SPOTSYLVANIA COUNTY,,,,,Donald J. Trump,2,39411,52.33%,Republican
SPOTSYLVANIA COUNTY,,,,,Jo Jorgensen,3,1301,1.73%,Libertarian
SPOTSYLVANIA COUNTY,,,,,Write In,2147483647,298,0.40%,Write-In
STAFFORD COUNTY,179,28,28,2020-11-09T16:26:46.457,Joseph R. Biden,1,40245,50.54%,Democratic
STAFFORD COUNTY,,,,,Donald J. Trump,2,37636,47.27%,Republican
STAFFORD COUNTY,,,,,Jo Jorgensen,3,1376,1.73%,Libertarian
STAFFORD COUNTY,,,,,Write In,2147483647,368,0.46%,Write-In
STAUNTON CITY,790,6,6,2020-11-06T15:22:50.737,Joseph R. Biden,1,6981,53.74%,Democratic
STAUNTON CITY,,,,,Donald J. Trump,2,5695,43.84%,Republican
STAUNTON CITY,,,,,Jo Jorgensen,3,249,1.92%,Libertarian
STAUNTON CITY,,,,,Write In,2147483647,65,0.50%,Write-In
SUFFOLK CITY,800,28,28,2020-11-09T18:31:21.85,Joseph R. Biden,1,28676,57.77%,Democratic
SUFFOLK CITY,,,,,Donald J. Trump,2,20082,40.45%,Republican
SUFFOLK CITY,,,,,Jo Jorgensen,3,724,1.46%,Libertarian
SUFFOLK CITY,,,,,Write In,2147483647,160,0.32%,Write-In
SURRY COUNTY,181,8,8,2020-11-06T13:32:18.717,Joseph R. Biden,1,2397,53.61%,Democratic
SURRY COUNTY,,,,,Donald J. Trump,2,2025,45.29%,Republican
SURRY COUNTY,,,,,Jo Jorgensen,3,40,0.89%,Libertarian
SURRY COUNTY,,,,,Write In,2147483647,9,0.20%,Write-In
SUSSEX COUNTY,183,12,12,2020-11-09T08:58:53.783,Joseph R. Biden,1,2827,55.56%,Democratic
SUSSEX COUNTY,,,,,Donald J. Trump,2,2219,43.61%,Republican
SUSSEX COUNTY,,,,,Jo Jorgensen,3,35,0.69%,Libertarian
SUSSEX COUNTY,,,,,Write In,2147483647,7,0.14%,Write-In
TAZEWELL COUNTY,185,21,21,2020-11-09T15:56:46.933,Joseph R. Biden,1,3205,15.92%,Democratic
TAZEWELL COUNTY,,,,,Donald J. Trump,2,16731,83.10%,Republican
TAZEWELL COUNTY,,,,,Jo Jorgensen,3,159,0.79%,Libertarian
TAZEWELL COUNTY,,,,,Write In,2147483647,39,0.19%,Write-In
VIRGINIA BEACH CITY,810,101,101,2020-11-09T15:22:15.927,Joseph R. Biden,1,117393,51.59%,Democratic
VIRGINIA BEACH CITY,,,,,Donald J. Trump,2,105087,46.18%,Republican
VIRGINIA BEACH CITY,,,,,Jo Jorgensen,3,4208,1.85%,Libertarian
VIRGINIA BEACH CITY,,,,,Write In,2147483647,873,0.38%,Write-In
WARREN COUNTY,187,12,12,2020-11-03T22:14:50.963,Joseph R. Biden,1,6603,31.22%,Democratic
WARREN COUNTY,,,,,Donald J. Trump,2,14069,66.53%,Republican
WARREN COUNTY,,,,,Jo Jorgensen,3,365,1.73%,Libertarian
WARREN COUNTY,,,,,Write In,2147483647,110,0.52%,Write-In
WASHINGTON COUNTY,191,20,20,2020-11-06T15:12:41.127,Joseph R. Biden,1,6617,23.07%,Democratic
WASHINGTON COUNTY,,,,,Donald J. Trump,2,21679,75.58%,Republican
WASHINGTON COUNTY,,,,,Jo Jorgensen,3,304,1.06%,Libertarian
WASHINGTON COUNTY,,,,,Write In,2147483647,85,0.30%,Write-In
WAYNESBORO CITY,820,5,5,2020-11-08T11:28:30.407,Joseph R. Biden,1,4961,46.29%,Democratic
WAYNESBORO CITY,,,,,Donald J. Trump,2,5507,51.39%,Republican
WAYNESBORO CITY,,,,,Jo Jorgensen,3,209,1.95%,Libertarian
WAYNESBORO CITY,,,,,Write In,2147483647,40,0.37%,Write-In
WESTMORELAND COUNTY,193,9,9,2020-11-06T16:02:42.21,Joseph R. Biden,1,4501,45.31%,Democratic
WESTMORELAND COUNTY,,,,,Donald J. Trump,2,5318,53.54%,Republican
WESTMORELAND COUNTY,,,,,Jo Jorgensen,3,90,0.91%,Libertarian
WESTMORELAND COUNTY,,,,,Write In,2147483647,24,0.24%,Write-In
WILLIAMSBURG CITY,830,3,3,2020-11-06T14:35:35.933,Joseph R. Biden,1,4790,69.59%,Democratic
WILLIAMSBURG CITY,,,,,Donald J. Trump,2,1963,28.52%,Republican
WILLIAMSBURG CITY,,,,,Jo Jorgensen,3,92,1.34%,Libertarian
WILLIAMSBURG CITY,,,,,Write In,2147483647,38,0.55%,Write-In
WINCHESTER CITY,840,7,7,2020-11-09T17:25:04.663,Joseph R. Biden,1,6610,54.60%,Democratic
WINCHESTER CITY,,,,,Donald J. Trump,2,5221,43.13%,Republican
WINCHESTER CITY,,,,,Jo Jorgensen,3,213,1.76%,Libertarian
WINCHESTER CITY,,,,,Write In,2147483647,62,0.51%,Write-In
WISE COUNTY,195,13,13,2020-11-07T14:05:26.223,Joseph R. Biden,1,3110,18.72%,Democratic
WISE COUNTY,,,,,Donald J. Trump,2,13366,80.45%,Republican
WISE COUNTY,,,,,Jo Jorgensen,3,108,0.65%,Libertarian
WISE COUNTY,,,,,Write In,2147483647,31,0.19%,Write-In
WYTHE COUNTY,197,12,12,2020-11-06T12:52:44.757,Joseph R. Biden,1,3143,20.85%,Democratic
WYTHE COUNTY,,,,,Donald J. Trump,2,11733,77.85%,Republican
WYTHE COUNTY,,,,,Jo Jorgensen,3,170,1.13%,Libertarian
WYTHE COUNTY,,,,,Write In,2147483647,26,0.17%,Write-In
YORK COUNTY,199,14,14,2020-11-09T16:12:31.437,Joseph R. Biden,1,17683,45.59%,Democratic
YORK COUNTY,,,,,Donald J. Trump,2,20241,52.19%,Republican
YORK COUNTY,,,,,Jo Jorgensen,3,680,1.75%,Libertarian
YORK COUNTY,,,,,Write In,2147483647,183,0.47%,Write-In
